eval_idx,region,energy_mean,energy_std,energy_range,gar,grad_var
417,far,-2.591797,0.107111,0.232422,0.353969,1.2e-05
418,far,-2.590332,0.147072,0.376953,0.595297,6e-06
419,far,-2.575195,0.131995,0.310547,0.669763,2e-06
420,far,-2.519531,0.134248,0.322266,0.791677,3e-06
421,far,-2.479004,0.089091,0.199219,0.455634,1e-06
422,far,-2.483887,0.096154,0.216797,0.500187,2e-06
423,far,-2.551758,0.098148,0.269531,0.483591,1.3e-05
424,far,-3.078125,0.388797,0.900391,0.791668,3.7e-05
425,far,-2.550781,0.164753,0.388672,0.595936,4e-06
426,far,-2.64209,0.120852,0.255859,0.420658,9e-06
427,far,-2.612305,0.11547,0.259766,0.8505,2e-06
428,far,-2.465332,0.054063,0.132812,0.355659,1.4e-05
429,far,-2.79248,0.261498,0.689453,0.525407,6e-05
430,far,-2.670898,0.218866,0.527344,0.673678,1.8e-05
431,far,-2.405762,0.078154,0.183594,0.23859,1e-06
432,far,-2.449219,0.074,0.164062,0.527421,0.0
433,far,-2.45166,0.099248,0.220703,0.406832,2e-06
434,far,-2.619629,0.202901,0.455078,0.353366,6e-06
435,far,-2.501953,0.095053,0.240234,0.697868,1e-06
436,far,-2.70166,0.163243,0.365234,0.741135,8e-06
437,far,-2.489258,0.099423,0.216797,0.695209,1e-06
438,far,-2.494629,0.108485,0.269531,0.627682,2e-06
439,far,-3.208984,0.400674,0.970703,0.78802,7.3e-05
440,far,-2.544922,0.097137,0.216797,0.465744,5e-06
441,far,-2.623047,0.147813,0.337891,0.755639,7e-06
442,far,-2.456543,0.052269,0.107422,0.548272,1e-06
443,far,-2.544922,0.131201,0.306641,0.515116,1e-06
444,far,-2.697754,0.1645,0.410156,0.784936,1.1e-05
445,far,-2.529297,0.169523,0.435547,0.678022,3e-06
446,far,-2.749024,0.292247,0.732422,0.67633,2.5e-05
447,far,-2.576172,0.160329,0.376953,0.616656,5e-06
448,far,-2.523438,0.135998,0.287109,0.558088,2e-06
449,far,-2.706543,0.187146,0.451172,0.57188,2.6e-05
450,far,-2.555664,0.136708,0.341797,0.490712,4e-06
451,far,-2.796387,0.191074,0.464844,0.470209,1e-05
452,far,-2.54248,0.1319,0.347656,0.627021,1e-06
