=== clinical n=100 on GPU 0 ===

============================================================
Dataset: clinical, N_real: 100, GPUs: [0]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[0], cpu_jobs=6

[1/4] Loading dataset...
  Loaded clinical: 48790 samples, 14 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [231/300] split=7     tvae +      mlp -> 70.77% (3.0s)
  [232/300] split=7     tvae +       rf -> 73.22% (0.3s)
  [233/300] split=7     tvae +  xgboost -> 73.88% (0.1s)
  [234/300] split=7     tvae +   tabpfn -> 74.01% (1.4s)
  [235/300] split=7    ctgan +       lr -> 71.03% (0.1s)
  [236/300] split=7    ctgan +      knn -> 68.46% (0.0s)
  [237/300] split=7    ctgan +      mlp -> 71.95% (1.4s)
  [238/300] split=7    ctgan +       rf -> 73.14% (0.2s)
  [239/300] split=7    ctgan +  xgboost -> 69.30% (0.2s)
  [240/300] split=7    ctgan +   tabpfn -> 74.50% (1.3s)
  [241/300] split=8 baseline +       lr -> 67.76% (0.0s)
  [242/300] split=8 baseline +      knn -> 66.97% (0.0s)
  [243/300] split=8 baseline +      mlp -> 63.33% (0.5s)
  [244/300] split=8 baseline +       rf -> 68.77% (0.2s)
  [245/300] split=8 baseline +  xgboost -> 64.39% (0.5s)
  [246/300] split=8 baseline +   tabpfn -> 71.95% (1.1s)
  [247/300] split=8    smote +       lr -> 66.03% (0.1s)
  [248/300] split=8    smote +      knn -> 67.48% (0.1s)
  [249/300] split=8    smote +      mlp -> 63.33% (1.1s)
  [250/300] split=8    smote +       rf -> 66.82% (0.2s)
  [251/300] split=8    smote +  xgboost -> 64.52% (0.9s)
  [252/300] split=8    smote +   tabpfn -> 63.40% (1.8s)
  [253/300] split=8   tabebm +       lr -> 70.53% (0.0s)
  [254/300] split=8   tabebm +      knn -> 66.62% (0.0s)
  [255/300] split=8   tabebm +      mlp -> 64.78% (0.7s)
  [256/300] split=8   tabebm +       rf -> 70.35% (0.2s)
  [257/300] split=8   tabebm +  xgboost -> 67.37% (0.1s)
  [258/300] split=8   tabebm +   tabpfn -> 64.08% (0.7s)
  [259/300] split=8     tvae +       lr -> 70.31% (0.1s)
  [260/300] split=8     tvae +      knn -> 72.28% (0.1s)
  [261/300] split=8     tvae +      mlp -> 66.93% (5.2s)
  [262/300] split=8     tvae +       rf -> 74.10% (0.2s)
  [263/300] split=8     tvae +  xgboost -> 70.31% (0.3s)
  [264/300] split=8     tvae +   tabpfn -> 66.49% (1.3s)
  [265/300] split=8    ctgan +       lr -> 67.76% (0.0s)
  [266/300] split=8    ctgan +      knn -> 66.97% (0.0s)
  [267/300] split=8    ctgan +      mlp -> 65.37% (1.3s)
  [268/300] split=8    ctgan +       rf -> 67.94% (0.2s)
  [269/300] split=8    ctgan +  xgboost -> 64.39% (0.2s)
  [270/300] split=8    ctgan +   tabpfn -> 71.95% (0.9s)
  [271/300] split=9 baseline +       lr -> 66.78% (0.0s)
  [272/300] split=9 baseline +      knn -> 66.36% (0.0s)
  [273/300] split=9 baseline +      mlp -> 67.28% (2.0s)
  [274/300] split=9 baseline +       rf -> 68.31% (0.2s)
  [275/300] split=9 baseline +  xgboost -> 65.09% (0.1s)
  [276/300] split=9 baseline +   tabpfn -> 72.50% (1.1s)
  [277/300] split=9    smote +       lr -> 65.46% (0.2s)
  [278/300] split=9    smote +      knn -> 64.30% (0.1s)
  [279/300] split=9    smote +      mlp -> 66.51% (4.6s)
  [280/300] split=9    smote +       rf -> 71.29% (0.2s)
  [281/300] split=9    smote +  xgboost -> 68.84% (0.1s)
