=== auction n=100 on GPU 3 ===

============================================================
Dataset: auction, N_real: 100, GPUs: [3]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[3], cpu_jobs=6

[1/4] Loading dataset...
  Loaded auction: 1470 samples, 34 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [267/300] split=8    ctgan +      mlp -> 61.71% (0.7s)
  [268/300] split=8    ctgan +       rf -> 54.34% (0.1s)
  [269/300] split=8    ctgan +  xgboost -> 60.76% (0.1s)
  [270/300] split=8    ctgan +   tabpfn -> 54.08% (0.7s)
  [271/300] split=9 baseline +       lr -> 56.20% (0.0s)
  [272/300] split=9 baseline +      knn -> 50.38% (0.1s)
  [273/300] split=9 baseline +      mlp -> 51.50% (0.1s)
  [274/300] split=9 baseline +       rf -> 49.76% (0.2s)
  [275/300] split=9 baseline +  xgboost -> 56.40% (0.1s)
  [276/300] split=9 baseline +   tabpfn -> 54.62% (0.7s)
  [277/300] split=9    smote +       lr -> 55.03% (0.1s)
  [278/300] split=9    smote +      knn -> 55.76% (0.1s)
  [279/300] split=9    smote +      mlp -> 55.10% (0.5s)
  [280/300] split=9    smote +       rf -> 53.13% (0.2s)
  [281/300] split=9    smote +  xgboost -> 54.70% (0.1s)
  [282/300] split=9    smote +   tabpfn -> 56.28% (0.7s)
  [283/300] split=9   tabebm +       lr -> 54.73% (0.2s)
  [284/300] split=9   tabebm +      knn -> 49.91% (0.1s)
  [285/300] split=9   tabebm +      mlp -> 53.05% (0.4s)
  [286/300] split=9   tabebm +       rf -> 52.87% (0.2s)
  [287/300] split=9   tabebm +  xgboost -> 58.19% (0.1s)
  [288/300] split=9   tabebm +   tabpfn -> 50.40% (1.1s)
  [289/300] split=9     tvae +       lr -> 59.23% (0.1s)
  [290/300] split=9     tvae +      knn -> 54.75% (0.1s)
  [291/300] split=9     tvae +      mlp -> 58.61% (0.3s)
  [292/300] split=9     tvae +       rf -> 55.20% (0.2s)
  [293/300] split=9     tvae +  xgboost -> 58.13% (0.1s)
  [294/300] split=9     tvae +   tabpfn -> 55.10% (0.1s)
  [295/300] split=9    ctgan +       lr -> 56.20% (0.0s)
  [296/300] split=9    ctgan +      knn -> 50.38% (0.1s)
  [297/300] split=9    ctgan +      mlp -> 52.89% (0.1s)
  [298/300] split=9    ctgan +       rf -> 49.88% (0.2s)
  [299/300] split=9    ctgan +  xgboost -> 56.40% (0.1s)
  [300/300] split=9    ctgan +   tabpfn -> 54.62% (0.2s)

[4/4] Saving results...
