=== support2 n=100 on GPU 1 ===

============================================================
Dataset: support2, N_real: 100, GPUs: [1]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[1], cpu_jobs=6

[1/4] Loading dataset...
  Loaded support2: 1470 samples, 33 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [129/300] split=4    smote +      mlp -> 60.86% (0.4s)
  [130/300] split=4    smote +       rf -> 89.61% (0.2s)
  [131/300] split=4    smote +  xgboost -> 100.00% (0.2s)
  [132/300] split=4    smote +   tabpfn -> 95.27% (1.1s)
  [133/300] split=4   tabebm +       lr -> 86.06% (0.2s)
  [134/300] split=4   tabebm +      knn -> 67.35% (0.2s)
  [135/300] split=4   tabebm +      mlp -> 64.63% (0.9s)
  [136/300] split=4   tabebm +       rf -> 95.45% (0.2s)
  [137/300] split=4   tabebm +  xgboost -> 98.64% (0.1s)
  [138/300] split=4   tabebm +   tabpfn -> 76.27% (0.8s)
  [139/300] split=4     tvae +       lr -> 85.24% (0.1s)
  [140/300] split=4     tvae +      knn -> 74.08% (0.3s)
  [141/300] split=4     tvae +      mlp -> 71.07% (1.7s)
  [142/300] split=4     tvae +       rf -> 96.64% (0.3s)
  [143/300] split=4     tvae +  xgboost -> 100.00% (1.3s)
  [144/300] split=4     tvae +   tabpfn -> 96.52% (1.1s)
  [145/300] split=4    ctgan +       lr -> 82.23% (0.0s)
  [146/300] split=4    ctgan +      knn -> 60.21% (0.1s)
  [147/300] split=4    ctgan +      mlp -> 58.79% (0.2s)
  [148/300] split=4    ctgan +       rf -> 71.43% (0.1s)
  [149/300] split=4    ctgan +  xgboost -> 100.00% (0.1s)
  [150/300] split=4    ctgan +   tabpfn -> 100.00% (1.5s)
  [151/300] split=5 baseline +       lr -> 80.93% (0.0s)
  [152/300] split=5 baseline +      knn -> 51.71% (0.1s)
  [153/300] split=5 baseline +      mlp -> 62.04% (0.2s)
  [154/300] split=5 baseline +       rf -> 85.06% (0.2s)
  [155/300] split=5 baseline +  xgboost -> 100.00% (0.3s)
  [156/300] split=5 baseline +   tabpfn -> 100.00% (1.6s)
  [157/300] split=5    smote +       lr -> 81.23% (0.6s)
  [158/300] split=5    smote +      knn -> 63.52% (0.2s)
  [159/300] split=5    smote +      mlp -> 65.70% (2.8s)
  [160/300] split=5    smote +       rf -> 97.40% (0.3s)
  [161/300] split=5    smote +  xgboost -> 100.00% (0.3s)
  [162/300] split=5    smote +   tabpfn -> 96.10% (1.0s)
  [163/300] split=5   tabebm +       lr -> 88.13% (0.2s)
  [164/300] split=5   tabebm +      knn -> 64.69% (0.1s)
  [165/300] split=5   tabebm +      mlp -> 69.60% (0.3s)
  [166/300] split=5   tabebm +       rf -> 94.16% (0.2s)
  [167/300] split=5   tabebm +  xgboost -> 99.35% (0.1s)
  [168/300] split=5   tabebm +   tabpfn -> 74.68% (0.9s)
  [169/300] split=5     tvae +       lr -> 85.12% (0.2s)
  [170/300] split=5     tvae +      knn -> 69.77% (0.2s)
  [171/300] split=5     tvae +      mlp -> 73.31% (3.7s)
  [172/300] split=5     tvae +       rf -> 87.66% (0.2s)
  [173/300] split=5     tvae +  xgboost -> 100.00% (0.2s)
  [174/300] split=5     tvae +   tabpfn -> 89.61% (1.2s)
  [175/300] split=5    ctgan +       lr -> 80.93% (0.1s)
  [176/300] split=5    ctgan +      knn -> 51.71% (0.1s)
  [177/300] split=5    ctgan +      mlp -> 59.98% (1.5s)
  [178/300] split=5    ctgan +       rf -> 68.18% (0.2s)
  [179/300] split=5    ctgan +  xgboost -> 100.00% (0.3s)
  [180/300] split=5    ctgan +   tabpfn -> 100.00% (1.8s)
  [181/300] split=6 baseline +       lr -> 84.77% (0.0s)
  [182/300] split=6 baseline +      knn -> 53.13% (0.1s)
  [183/300] split=6 baseline +      mlp -> 66.00% (0.3s)
  [184/300] split=6 baseline +       rf -> 87.66% (0.2s)
  [185/300] split=6 baseline +  xgboost -> 100.00% (0.1s)
  [186/300] split=6 baseline +   tabpfn -> 100.00% (1.0s)
  [187/300] split=6    smote +       lr -> 89.67% (0.3s)
  [188/300] split=6    smote +      knn -> 61.15% (0.2s)
  [189/300] split=6    smote +      mlp -> 64.22% (0.8s)
  [190/300] split=6    smote +       rf -> 100.00% (0.3s)
  [191/300] split=6    smote +  xgboost -> 100.00% (0.1s)
  [192/300] split=6    smote +   tabpfn -> 97.22% (0.8s)
  [193/300] split=6   tabebm +       lr -> 90.91% (0.3s)
  [194/300] split=6   tabebm +      knn -> 62.04% (0.1s)
  [195/300] split=6   tabebm +      mlp -> 72.19% (0.3s)
  [196/300] split=6   tabebm +       rf -> 88.31% (0.2s)
  [197/300] split=6   tabebm +  xgboost -> 100.00% (0.1s)
  [198/300] split=6   tabebm +   tabpfn -> 73.26% (0.9s)
  [199/300] split=6     tvae +       lr -> 90.32% (0.4s)
  [200/300] split=6     tvae +      knn -> 73.49% (0.2s)
  [201/300] split=6     tvae +      mlp -> 68.95% (1.0s)
  [202/300] split=6     tvae +       rf -> 100.00% (0.3s)
  [203/300] split=6     tvae +  xgboost -> 100.00% (0.2s)
  [204/300] split=6     tvae +   tabpfn -> 86.89% (2.3s)
  [205/300] split=6    ctgan +       lr -> 84.77% (0.1s)
  [206/300] split=6    ctgan +      knn -> 53.13% (0.2s)
  [207/300] split=6    ctgan +      mlp -> 61.69% (0.4s)
  [208/300] split=6    ctgan +       rf -> 74.03% (0.3s)
  [209/300] split=6    ctgan +  xgboost -> 100.00% (0.4s)
  [210/300] split=6    ctgan +   tabpfn -> 100.00% (1.3s)
  [211/300] split=7 baseline +       lr -> 75.86% (0.1s)
  [212/300] split=7 baseline +      knn -> 53.90% (0.1s)
  [213/300] split=7 baseline +      mlp -> 54.60% (1.5s)
  [214/300] split=7 baseline +       rf -> 94.16% (0.2s)
  [215/300] split=7 baseline +  xgboost -> 100.00% (0.2s)
  [216/300] split=7 baseline +   tabpfn -> 100.00% (1.2s)
  [217/300] split=7    smote +       lr -> 78.28% (0.2s)
  [218/300] split=7    smote +      knn -> 60.80% (0.1s)
  [219/300] split=7    smote +      mlp -> 58.50% (0.6s)
  [220/300] split=7    smote +       rf -> 98.05% (0.2s)
  [221/300] split=7    smote +  xgboost -> 100.00% (0.1s)
  [222/300] split=7    smote +   tabpfn -> 79.52% (1.1s)
  [223/300] split=7   tabebm +       lr -> 82.35% (0.2s)
  [224/300] split=7   tabebm +      knn -> 62.69% (0.2s)
  [225/300] split=7   tabebm +      mlp -> 59.38% (0.6s)
  [226/300] split=7   tabebm +       rf -> 90.26% (0.2s)
  [227/300] split=7   tabebm +  xgboost -> 93.39% (0.1s)
  [228/300] split=7   tabebm +   tabpfn -> 69.48% (0.7s)
  [229/300] split=7     tvae +       lr -> 82.29% (0.2s)
  [230/300] split=7     tvae +      knn -> 70.95% (0.2s)
  [231/300] split=7     tvae +      mlp -> 73.73% (0.8s)
  [232/300] split=7     tvae +       rf -> 84.42% (0.3s)
  [233/300] split=7     tvae +  xgboost -> 97.11% (0.8s)
  [234/300] split=7     tvae +   tabpfn -> 79.22% (2.0s)
  [235/300] split=7    ctgan +       lr -> 75.86% (0.0s)
  [236/300] split=7    ctgan +      knn -> 53.90% (0.2s)
  [237/300] split=7    ctgan +      mlp -> 60.51% (0.9s)
  [238/300] split=7    ctgan +       rf -> 77.27% (0.2s)
  [239/300] split=7    ctgan +  xgboost -> 100.00% (0.1s)
  [240/300] split=7    ctgan +   tabpfn -> 100.00% (0.8s)
  [241/300] split=8 baseline +       lr -> 83.29% (0.0s)
  [242/300] split=8 baseline +      knn -> 53.01% (0.1s)
  [243/300] split=8 baseline +      mlp -> 70.25% (0.7s)
  [244/300] split=8 baseline +       rf -> 85.06% (0.2s)
  [245/300] split=8 baseline +  xgboost -> 100.00% (0.1s)
  [246/300] split=8 baseline +   tabpfn -> 100.00% (0.9s)
  [247/300] split=8    smote +       lr -> 85.65% (0.2s)
  [248/300] split=8    smote +      knn -> 64.87% (0.1s)
  [249/300] split=8    smote +      mlp -> 64.46% (0.7s)
  [250/300] split=8    smote +       rf -> 96.75% (0.2s)
  [251/300] split=8    smote +  xgboost -> 100.00% (0.1s)
  [252/300] split=8    smote +   tabpfn -> 86.95% (0.9s)
  [253/300] split=8   tabebm +       lr -> 89.02% (0.1s)
  [254/300] split=8   tabebm +      knn -> 60.79% (0.2s)
  [255/300] split=8   tabebm +      mlp -> 68.12% (1.0s)
  [256/300] split=8   tabebm +       rf -> 95.45% (0.2s)
  [257/300] split=8   tabebm +  xgboost -> 100.00% (0.1s)
  [258/300] split=8   tabebm +   tabpfn -> 68.71% (0.7s)
  [259/300] split=8     tvae +       lr -> 87.31% (0.5s)
  [260/300] split=8     tvae +      knn -> 72.54% (0.2s)
  [261/300] split=8     tvae +      mlp -> 75.44% (2.3s)
  [262/300] split=8     tvae +       rf -> 98.05% (0.2s)
  [263/300] split=8     tvae +  xgboost -> 99.88% (0.3s)
  [264/300] split=8     tvae +   tabpfn -> 85.36% (1.3s)
  [265/300] split=8    ctgan +       lr -> 83.29% (0.0s)
  [266/300] split=8    ctgan +      knn -> 53.01% (0.1s)
  [267/300] split=8    ctgan +      mlp -> 60.03% (0.3s)
  [268/300] split=8    ctgan +       rf -> 74.68% (0.2s)
  [269/300] split=8    ctgan +  xgboost -> 100.00% (0.1s)
  [270/300] split=8    ctgan +   tabpfn -> 100.00% (1.7s)
  [271/300] split=9 baseline +       lr -> 83.53% (0.1s)
  [272/300] split=9 baseline +      knn -> 54.84% (0.2s)
  [273/300] split=9 baseline +      mlp -> 63.22% (1.3s)
  [274/300] split=9 baseline +       rf -> 66.23% (0.2s)
  [275/300] split=9 baseline +  xgboost -> 100.00% (0.2s)
  [276/300] split=9 baseline +   tabpfn -> 100.00% (1.1s)
  [277/300] split=9    smote +       lr -> 84.35% (0.2s)
  [278/300] split=9    smote +      knn -> 64.93% (0.1s)
