dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
fourier,100,1,baseline,tabpfn,77.0,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.98, 0.7, 0.74, 0.98, 0.72, 0.64, 0.8, 0.24, 0.94, 0.96]",,,0.13,ok
fourier,100,1,smote,lr,65.4,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.04,"[0.9, 0.5, 0.68, 0.84, 0.46, 0.52, 0.56, 0.3, 0.84, 0.94]",0.580062,0.561888,0.61,ok
fourier,100,1,smote,knn,68.2,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.04,"[0.9, 0.48, 0.7, 0.82, 0.58, 0.54, 0.46, 0.46, 0.9, 0.98]",0.580062,0.561888,0.07,ok
fourier,100,1,smote,mlp,59.8,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.04,"[0.9, 0.44, 0.6, 0.76, 0.36, 0.44, 0.46, 0.26, 0.78, 0.98]",0.580062,0.561888,0.33,ok
fourier,100,1,smote,rf,72.8,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.04,"[0.96, 0.54, 0.64, 0.92, 0.64, 0.6, 0.7, 0.38, 0.94, 0.96]",0.580062,0.561888,0.25,ok
fourier,100,1,smote,xgboost,68.8,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.04,"[0.9, 0.56, 0.66, 0.88, 0.62, 0.46, 0.8, 0.24, 0.88, 0.88]",0.580062,0.561888,0.32,ok
fourier,100,1,smote,tabpfn,66.4,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.04,"[0.94, 0.28, 0.62, 0.88, 0.66, 0.42, 0.62, 0.46, 0.82, 0.94]",0.580062,0.561888,0.09,ok
fourier,100,1,tabebm,lr,67.0,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",63.71,"[0.92, 0.54, 0.66, 0.82, 0.5, 0.52, 0.6, 0.36, 0.84, 0.94]",0.990156,0.964848,0.7,ok
fourier,100,1,tabebm,knn,64.2,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",63.71,"[0.9, 0.52, 0.72, 0.84, 0.42, 0.48, 0.42, 0.28, 0.88, 0.96]",0.990156,0.964848,0.15,ok
fourier,100,1,tabebm,mlp,62.8,43,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",63.71,"[0.88, 0.4, 0.64, 0.86, 0.56, 0.4, 0.52, 0.16, 0.9, 0.96]",0.990156,0.964848,0.33,ok
