dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
auction,100,1,ctgan,lr,60.5395,43,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",3.44,"[0.9021, 0.3086]",,,0.06,ok
auction,100,1,ctgan,knn,54.2429,43,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",3.44,"[0.9737, 0.1111]",,,0.13,ok
auction,100,1,ctgan,mlp,60.0415,43,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",3.44,"[0.9045, 0.2963]",,,0.69,ok
auction,100,1,ctgan,rf,54.6996,43,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",3.44,"[0.9952, 0.0988]",,,0.19,ok
auction,100,1,ctgan,xgboost,61.2923,43,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",3.44,"[0.9666, 0.2593]",,,0.15,ok
auction,100,1,ctgan,tabpfn,63.5228,43,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",3.44,"[0.9618, 0.3086]",,,1.24,ok
auction,100,2,baseline,lr,59.959,44,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9523, 0.2469]",,,0.03,ok
auction,100,2,baseline,knn,50.7985,44,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9666, 0.0494]",,,0.11,ok
auction,100,2,baseline,mlp,56.992,44,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9547, 0.1852]",,,0.17,ok
auction,100,2,baseline,rf,50.7572,44,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9905, 0.0247]",,,0.15,ok
auction,100,2,baseline,xgboost,55.0414,44,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9403, 0.1605]",,,0.07,ok
auction,100,2,baseline,tabpfn,50.0,44,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[1.0, 0.0]",,,1.01,ok
auction,100,2,smote,lr,58.9469,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.11,"[0.895, 0.284]",0.061947,0.248416,0.41,ok
auction,100,2,smote,knn,50.5068,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.11,"[0.8496, 0.1605]",0.061947,0.248416,0.19,ok
auction,100,2,smote,mlp,56.5559,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.11,"[0.9212, 0.2099]",0.061947,0.248416,0.82,ok
auction,100,2,smote,rf,54.7409,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.11,"[0.9714, 0.1235]",0.061947,0.248416,0.17,ok
auction,100,2,smote,xgboost,57.2306,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.11,"[0.9594, 0.1852]",0.061947,0.248416,0.09,ok
auction,100,2,smote,tabpfn,59.9222,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.11,"[0.9021, 0.2963]",0.061947,0.248416,0.71,ok
auction,100,2,tabebm,lr,61.4573,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",36.49,"[0.8711, 0.358]",0.000539,0.094797,0.31,ok
auction,100,2,tabebm,knn,52.1038,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",36.49,"[0.7828, 0.2593]",0.000539,0.094797,0.22,ok
auction,100,2,tabebm,mlp,58.7864,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",36.49,"[0.9165, 0.2593]",0.000539,0.094797,0.7,ok
auction,100,2,tabebm,rf,52.2717,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",36.49,"[0.9714, 0.0741]",0.000539,0.094797,0.26,ok
auction,100,2,tabebm,xgboost,56.992,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",36.49,"[0.9547, 0.1852]",0.000539,0.094797,0.2,ok
auction,100,2,tabebm,tabpfn,52.3911,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",36.49,"[0.9737, 0.0741]",0.000539,0.094797,1.28,ok
auction,100,2,tvae,lr,56.5765,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",14.93,"[0.9093, 0.2222]",0.0,0.01997,0.16,ok
auction,100,2,tvae,knn,56.2598,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",14.93,"[0.8783, 0.2469]",0.0,0.01997,0.32,ok
auction,100,2,tvae,mlp,57.8892,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",14.93,"[0.9356, 0.2222]",0.0,0.01997,1.22,ok
auction,100,2,tvae,rf,52.9877,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",14.93,"[0.9857, 0.0741]",0.0,0.01997,0.25,ok
auction,100,2,tvae,xgboost,52.0743,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",14.93,"[0.9427, 0.0988]",0.0,0.01997,0.93,ok
auction,100,2,tvae,tabpfn,56.0948,44,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",14.93,"[0.9737, 0.1481]",0.0,0.01997,1.13,ok
auction,100,2,ctgan,lr,59.959,44,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",3.69,"[0.9523, 0.2469]",,,0.02,ok
auction,100,2,ctgan,knn,50.7985,44,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",3.69,"[0.9666, 0.0494]",,,0.11,ok
auction,100,2,ctgan,mlp,56.2553,44,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",3.69,"[0.9523, 0.1728]",,,0.81,ok
auction,100,2,ctgan,rf,49.5227,44,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",3.69,"[0.9905, 0.0]",,,0.21,ok
auction,100,2,ctgan,xgboost,55.0414,44,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",3.69,"[0.9403, 0.1605]",,,0.17,ok
auction,100,2,ctgan,tabpfn,50.0,44,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",3.69,"[1.0, 0.0]",,,1.08,ok
auction,100,3,baseline,lr,59.1237,45,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9356, 0.2469]",,,0.01,ok
auction,100,3,baseline,knn,53.6256,45,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9737, 0.0988]",,,0.13,ok
auction,100,3,baseline,mlp,57.7698,45,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9332, 0.2222]",,,0.47,ok
auction,100,3,baseline,rf,53.8437,45,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9905, 0.0864]",,,0.16,ok
auction,100,3,baseline,xgboost,59.959,45,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9523, 0.2469]",,,0.12,ok
auction,100,3,baseline,tabpfn,60.5351,45,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9761, 0.2346]",,,1.05,ok
auction,100,3,smote,lr,59.523,45,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.1,"[0.9189, 0.2716]",0.056201,0.199353,0.35,ok
auction,100,3,smote,knn,58.1897,45,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.1,"[0.9045, 0.2593]",0.056201,0.199353,0.18,ok
auction,100,3,smote,mlp,60.1196,45,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.1,"[0.9308, 0.2716]",0.056201,0.199353,1.04,ok
auction,100,3,smote,rf,57.0907,45,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.1,"[0.969, 0.1728]",0.056201,0.199353,0.15,ok
auction,100,3,smote,xgboost,61.0949,45,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.1,"[0.9379, 0.284]",0.056201,0.199353,0.1,ok
auction,100,3,smote,tabpfn,57.9879,45,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.1,"[0.9499, 0.2099]",0.056201,0.199353,0.72,ok
auction,100,3,tabebm,lr,60.84,45,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",37.53,"[0.8711, 0.3457]",2.7e-05,0.108834,0.47,ok
auction,100,3,tabebm,knn,56.659,45,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",37.53,"[0.8616, 0.2716]",2.7e-05,0.108834,0.24,ok
auction,100,3,tabebm,mlp,59.9222,45,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",37.53,"[0.9021, 0.2963]",2.7e-05,0.108834,1.54,ok
auction,100,3,tabebm,rf,57.9672,45,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",37.53,"[0.9618, 0.1975]",2.7e-05,0.108834,0.29,ok
