=== mushroom n=100 on GPU 2 ===

============================================================
Dataset: mushroom, N_real: 100, GPUs: [2]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[2], cpu_jobs=6

[1/4] Loading dataset...
  Loaded mushroom: 8124 samples, 22 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [168/300] split=5   tabebm +   tabpfn -> 98.15% (0.7s)
  [169/300] split=5     tvae +       lr -> 92.27% (0.2s)
  [170/300] split=5     tvae +      knn -> 95.30% (0.2s)
  [171/300] split=5     tvae +      mlp -> 95.31% (1.4s)
  [172/300] split=5     tvae +       rf -> 97.58% (0.2s)
  [173/300] split=5     tvae +  xgboost -> 97.18% (1.0s)
  [174/300] split=5     tvae +   tabpfn -> 98.01% (0.8s)
  [175/300] split=5    ctgan +       lr -> 92.85% (0.0s)
  [176/300] split=5    ctgan +      knn -> 96.37% (0.1s)
  [177/300] split=5    ctgan +      mlp -> 96.75% (0.3s)
  [178/300] split=5    ctgan +       rf -> 97.98% (0.2s)
  [179/300] split=5    ctgan +  xgboost -> 96.32% (0.1s)
  [180/300] split=5    ctgan +   tabpfn -> 98.55% (1.1s)
  [181/300] split=6 baseline +       lr -> 96.80% (0.0s)
  [182/300] split=6 baseline +      knn -> 95.98% (0.1s)
  [183/300] split=6 baseline +      mlp -> 97.21% (0.3s)
  [184/300] split=6 baseline +       rf -> 94.72% (0.2s)
  [185/300] split=6 baseline +  xgboost -> 96.45% (0.2s)
  [186/300] split=6 baseline +   tabpfn -> 97.73% (1.6s)
  [187/300] split=6    smote +       lr -> 96.80% (0.2s)
  [188/300] split=6    smote +      knn -> 96.82% (0.2s)
  [189/300] split=6    smote +      mlp -> 96.60% (1.5s)
  [190/300] split=6    smote +       rf -> 94.33% (0.2s)
  [191/300] split=6    smote +  xgboost -> 96.25% (0.3s)
  [192/300] split=6    smote +   tabpfn -> 96.65% (1.7s)
  [193/300] split=6   tabebm +       lr -> 96.38% (0.1s)
  [194/300] split=6   tabebm +      knn -> 97.60% (0.1s)
  [195/300] split=6   tabebm +      mlp -> 97.21% (0.2s)
  [196/300] split=6   tabebm +       rf -> 96.26% (0.2s)
  [197/300] split=6   tabebm +  xgboost -> 95.29% (0.1s)
  [198/300] split=6   tabebm +   tabpfn -> 96.65% (0.7s)
  [199/300] split=6     tvae +       lr -> 96.02% (0.1s)
  [200/300] split=6     tvae +      knn -> 95.72% (0.2s)
  [201/300] split=6     tvae +      mlp -> 97.42% (0.5s)
  [202/300] split=6     tvae +       rf -> 96.45% (0.2s)
  [203/300] split=6     tvae +  xgboost -> 96.45% (0.6s)
  [204/300] split=6     tvae +   tabpfn -> 97.80% (1.4s)
  [205/300] split=6    ctgan +       lr -> 96.80% (0.0s)
  [206/300] split=6    ctgan +      knn -> 95.98% (0.1s)
  [207/300] split=6    ctgan +      mlp -> 95.97% (0.3s)
  [208/300] split=6    ctgan +       rf -> 94.72% (0.2s)
  [209/300] split=6    ctgan +  xgboost -> 96.45% (0.1s)
  [210/300] split=6    ctgan +   tabpfn -> 97.73% (1.1s)
  [211/300] split=7 baseline +       lr -> 92.28% (0.0s)
  [212/300] split=7 baseline +      knn -> 91.68% (0.1s)
  [213/300] split=7 baseline +      mlp -> 94.44% (0.7s)
  [214/300] split=7 baseline +       rf -> 94.89% (0.3s)
  [215/300] split=7 baseline +  xgboost -> 94.51% (0.2s)
  [216/300] split=7 baseline +   tabpfn -> 95.52% (1.1s)
  [217/300] split=7    smote +       lr -> 92.09% (0.2s)
  [218/300] split=7    smote +      knn -> 95.10% (0.2s)
  [219/300] split=7    smote +      mlp -> 94.49% (1.1s)
  [220/300] split=7    smote +       rf -> 94.89% (0.2s)
  [221/300] split=7    smote +  xgboost -> 94.51% (0.2s)
  [222/300] split=7    smote +   tabpfn -> 95.32% (0.9s)
  [223/300] split=7   tabebm +       lr -> 91.93% (0.1s)
