eval_idx,region,energy_mean,energy_std,energy_range,gar,grad_var
259,far,-2.356934,0.040107,0.097656,0.685863,1e-06
260,far,-2.457031,0.045323,0.111328,0.829362,2e-06
261,far,-2.555176,0.032282,0.085938,0.864495,2e-06
262,far,-2.808106,0.10715,0.265625,0.780794,1.2e-05
263,far,-2.900879,0.16767,0.427734,0.897516,1.1e-05
264,far,-2.555176,0.083488,0.189453,0.885646,2e-06
265,far,-2.467285,0.031776,0.076172,0.783722,1e-06
266,far,-2.398926,0.048404,0.101562,0.70908,1e-06
267,far,-2.456543,0.052723,0.136719,0.766064,2e-06
268,far,-2.501465,0.048028,0.134766,0.841576,1e-06
269,far,-2.669922,0.068513,0.173828,0.767338,4e-06
270,far,-2.38623,0.029048,0.070312,0.522049,1e-06
271,far,-2.678711,0.106338,0.263672,0.772884,1.5e-05
272,far,-2.439453,0.075581,0.183594,0.853567,3e-06
273,far,-2.42627,0.035918,0.099609,0.909912,2e-06
274,far,-2.458008,0.064149,0.171875,0.090752,3e-06
275,far,-2.430176,0.065048,0.171875,0.784477,2e-06
276,far,-2.539062,0.045867,0.126953,0.633072,5e-06
277,far,-2.387695,0.061678,0.167969,0.163264,1e-06
278,far,-2.549805,0.066097,0.181641,0.729873,3e-06
279,far,-2.762207,0.099737,0.273438,0.883818,8e-06
280,far,-2.431152,0.032751,0.083984,0.679823,1e-06
281,far,-2.77002,0.099229,0.271484,0.813799,7e-06
282,far,-2.387207,0.066023,0.177734,0.525922,1e-06
283,far,-2.718262,0.098341,0.271484,0.816024,5e-06
284,far,-3.160156,0.12331,0.285156,0.822404,6.7e-05
285,far,-2.397461,0.0184,0.046875,0.72815,1e-06
286,far,-2.628418,0.103057,0.279297,0.858151,4e-06
287,far,-2.581543,0.106847,0.289062,0.916817,2e-06
288,far,-2.519043,0.072165,0.193359,0.804252,5e-06
289,far,-2.47168,0.054905,0.117188,0.900867,1e-06
290,far,-2.356445,0.029117,0.076172,0.53096,1e-06
291,far,-2.578613,0.048699,0.126953,0.868715,3e-06
292,far,-2.451172,0.056691,0.148438,0.868383,1e-06
293,far,-2.354492,0.034788,0.097656,0.43193,1e-06
294,far,-2.435058,0.013974,0.035156,0.830607,1e-06
295,far,-2.407715,0.026181,0.070312,0.626958,1e-06
296,far,-2.442383,0.048189,0.121094,0.820145,1e-06
297,far,-2.492676,0.028383,0.078125,0.859315,1e-06
298,far,-2.443848,0.046781,0.130859,0.813446,0.0
299,far,-2.660156,0.096606,0.257812,0.867388,5e-06
300,far,-2.507324,0.126127,0.333984,0.608436,3e-06
301,far,-2.437988,0.040131,0.091797,0.801582,1e-06
302,far,-2.428223,0.055969,0.144531,0.781216,0.0
303,far,-2.456543,0.045415,0.126953,0.612387,6e-06
304,far,-2.423828,0.030943,0.085938,0.79621,1e-06
305,far,-2.381836,0.048994,0.128906,0.328463,1e-06
306,far,-2.652832,0.117597,0.326172,0.737492,5e-06
307,far,-2.376953,0.031523,0.078125,0.869815,0.0
308,far,-2.417969,0.078575,0.201172,0.899472,0.0
309,far,-2.797852,0.098284,0.228516,0.895043,7e-06
310,far,-2.484863,0.051274,0.130859,0.693473,8e-06
311,far,-2.364258,0.038236,0.105469,0.845266,0.0
312,far,-2.36914,0.027725,0.068359,0.703663,0.0
313,far,-2.512695,0.079678,0.1875,0.919522,2e-06
314,far,-2.399414,0.067298,0.169922,0.63646,0.0
315,far,-2.458008,0.106284,0.271484,0.821108,2e-06
316,far,-2.578613,0.072297,0.193359,0.818023,2e-06
317,far,-2.42627,0.052542,0.144531,0.749019,1e-06
318,far,-2.427246,0.049437,0.134766,0.654852,1e-06
319,far,-2.504883,0.054311,0.142578,0.750863,2e-06
320,far,-2.488281,0.04595,0.111328,0.770996,2e-06
321,far,-2.599121,0.078519,0.216797,0.832923,2e-06
322,far,-2.35791,0.058665,0.144531,0.436435,1e-06
323,far,-2.461426,0.057549,0.154297,0.846439,1e-06
324,far,-2.547852,0.054626,0.148438,0.821487,1e-06
325,far,-2.381348,0.037093,0.091797,0.390634,0.0
326,far,-2.727539,0.079702,0.173828,0.90656,5e-06
327,far,-2.833496,0.114349,0.298828,0.871821,1.8e-05
328,far,-2.495117,0.017605,0.042969,0.751315,1e-06
329,far,-2.393555,0.05287,0.140625,0.647298,2e-06
330,far,-2.578613,0.045099,0.126953,0.712301,5e-06
331,far,-2.516602,0.048446,0.119141,0.896793,2e-06
332,far,-2.518066,0.041487,0.117188,0.702689,1e-06
333,far,-2.409668,0.057978,0.148438,0.780472,1e-06
334,far,-2.43457,0.046885,0.123047,0.752399,2e-06
335,far,-2.437988,0.018854,0.048828,0.766717,1e-06
336,far,-2.665527,0.09767,0.244141,0.868639,2e-06
337,far,-2.74414,0.066664,0.183594,0.813589,1.3e-05
338,far,-2.390625,0.022482,0.060547,0.84606,0.0
339,far,-2.346192,0.035731,0.099609,0.178099,1e-06
340,far,-2.54248,0.017921,0.048828,0.90409,3e-06
341,far,-2.52832,0.051499,0.128906,0.747385,2e-06
342,far,-2.453613,0.066927,0.171875,0.638609,2e-06
343,far,-2.448242,0.005259,0.013672,0.831027,1e-06
344,far,-2.34668,0.026076,0.0625,0.456872,0.0
345,far,-2.723633,0.055664,0.146484,0.935457,3e-06
346,far,-2.719726,0.072034,0.203125,0.687379,1.6e-05
347,far,-2.487305,0.05563,0.144531,0.895837,1e-06
348,far,-2.48291,0.036366,0.097656,0.927867,1e-06
349,far,-2.59375,0.039038,0.107422,0.929069,3e-06
350,far,-2.458984,0.058659,0.121094,0.642985,1e-06
351,far,-2.356934,0.039797,0.107422,0.438186,1e-06
352,far,-2.361328,0.048984,0.121094,0.883636,0.0
353,far,-2.564942,0.061568,0.173828,0.715695,5e-06
354,far,-2.391602,0.024492,0.060547,0.438393,0.0
355,far,-2.830566,0.094675,0.238281,0.85632,9e-06
356,far,-2.509766,0.032123,0.087891,0.892508,1e-06
357,far,-2.676758,0.095658,0.269531,0.897052,3e-06
358,far,-2.473633,0.062263,0.142578,0.800535,2e-06
359,far,-2.397949,0.045729,0.111328,0.608703,0.0
360,far,-2.564453,0.043913,0.115234,0.713399,3e-06
361,far,-2.387695,0.043945,0.123047,0.852267,0.0
362,far,-2.542969,0.045155,0.126953,0.714858,2e-06
363,far,-2.488281,0.032182,0.085938,0.848561,2e-06
364,far,-2.365723,0.032045,0.089844,0.64528,1e-06
365,far,-2.447754,0.038753,0.101562,0.734602,2e-06
366,far,-2.503906,0.074154,0.191406,0.792114,3e-06
367,far,-2.446289,0.056582,0.158203,0.731504,1e-06
368,far,-2.37207,0.031265,0.085938,0.691318,0.0
369,far,-2.525879,0.054414,0.142578,0.783495,1e-06
370,far,-2.416992,0.040513,0.107422,0.787819,2e-06
371,far,-2.439942,0.052651,0.130859,0.805306,1e-06
372,far,-2.790527,0.131161,0.333984,0.890991,7e-06
373,far,-2.376953,0.04728,0.128906,0.217694,2e-06
374,far,-2.472168,0.067409,0.175781,0.798738,3e-06
